Title,Entity,Nationality,Country,From,To,Prohibited Practice,Source,Tipo de sancion del BID,IDB Sanction Source,Other Name
Mr. Sealtiel Orozco,Individual,Nicaragua," Nicaragua",2011-08-23T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Glocoms, Inc",Firm,United States of America," Mongolia",2014-04-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Maurence Anguh,Individual,United States of America," Mongolia",2014-04-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"The Glocoms Group, Inc.",Firm,United States of America," Mongolia",2014-04-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Global Technology Solutions, Inc",Firm,United States of America," Mongolia",2014-04-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Glosolve Limited,Firm,United Kingdom of Great Britain and Northern Ireland," Mongolia",2014-04-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Intreprinderea Mixta Moldo-Irlandeza""Romany Gaz Group"" S.R.L.",Firm,Republic of Moldova," Republic of Moldova",2011-11-08T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
Mr. Roman Nicu,Individual,NULL," Republic of Moldova",2011-11-08T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
"IG-TOGO Sarl (""IG-TOGO"")",Firm,Togo," Togo",2011-11-22T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
AL-Sami Co. Group for General Contracts Ltd.,Firm,Iraq," Iraq",2011-11-29T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
Constructora Toledo,Firm,Guatemala," Guatemala",2011-12-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Constructora Katingcar,Firm,Guatemala," Guatemala",2011-12-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Constructora Slim,Firm,Bolivia,NULL,2012-01-20T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Servicios de Ingenieria y Construccion Vargas Rios (Constructora S.I.C.),Firm,Bolivia,NULL,2012-01-20T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Constructora EMCONCIMET,Firm,Bolivia,NULL,2012-01-20T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Dmitry Gennadyevich Kostousov,Individual,NULL," Russian Federation",2011-12-06T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
Uralkotloservice Pkf Zao (Tambov),Firm,NULL," Russian Federation",2011-11-29T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
Uralkotloservice Pkf Zao,Firm,NULL," Russian Federation",2011-11-29T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
Zhongke Life Science & Technology Co. Ltd.,Firm,China," China",2011-07-26T00:00,Ongoing,NULL,WBG cross debarment,NULL,NULL,NULL
Construtora Ramos e França Ltda.,Firm,Brazil," Brazil",2012-10-19T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Silva Matos Const. e Cons. e Comercio Ltda.,Firm,Brazil," Brazil",2012-10-19T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Novo Horizonte Const. e Cons. e Comercio Ltda.,Firm,Brazil," Brazil",2012-10-19T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Ivo Gomes da Silva,Individual,Brazil," Brazil",2012-10-19T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
J.M. Comércio de Equipamentos Ltda. (Currently doing business as 'Pick Up Car Auto Peças'),Firm,Brazil," Brazil",2012-11-06T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Jose Magno da Silva Garrido,Individual,Brazil," Brazil",2012-11-06T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
M/S Concept Pharmaceuticals Limited,Firm,India," India",2012-05-30T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Victoria Slisarenko,Individual,Ukraine," Ukraine",2012-10-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Contact Euro LLC,Firm,Ukraine," Ukraine",2012-10-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Central de Negocios Diversos (""CENEDI"")",Firm,Guatemala," Guatemala",2013-01-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Erick Rodolfo González Chávez,Individual,Guatemala," Guatemala",2013-01-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Al Thuhat Company, General Contracting and Trade (Al Thuhat)",Firm,Iraq," Iraq",2013-01-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Mousa Mahdi Makawi (Mr. Makawi),Individual,Iraq," Iraq",2013-01-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
OAO Dustlik,Firm,Kyrgyzstan," Kyrgyzstan",2012-11-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Vakhidjan Ergashev,Individual,Kyrgyzstan," Kyrgyzstan",2012-11-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Entreprise Générale de Construction Ando,Firm,Madagascar," Madagascar",2013-02-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
PT Citra Gading Asritama,Firm,Indonesia," Indonesia",2012-08-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
CENNET INSAAT ITH. IHR. TUR. GIDA SAN. VE TIC. LTD. STI,Firm,Turkey," Azerbaijan",2013-03-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Sego Ventures Nigera Limited,Firm,Nigeria," Nigeria",2011-06-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
M/S Wijekamal Engineering Pvt. Ltd.,Firm,Sri Lanka," Sri Lanka",2013-06-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"L'Entreprise Générale de Construction Safidy (""Safidy"")",Firm,Madagascar," Madagascar",2013-05-10T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Reef Building Systems Limited,Firm,Kenya," Kenya",2013-07-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
YAVUZER INSAAT MAKINE VE MALZEMELERI SANAYI VE TICARET LTD. STI,Firm,Turkey," Azerbaijan",2013-06-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Asia Communications Co., Ltd",Firm,Cambodia," Cambodia",2012-04-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Meas Sina,Individual,Cambodia," Cambodia",2012-04-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Al-Ajam Company for General Contracting Ltd. (Al-Ajam),Firm,Iraq," Iraq",2012-03-22T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Eastern Builders and Engineers Limited,Firm,Uganda," Uganda",2012-01-31T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Gurdyal Singh,Individual,Uganda," Uganda",2012-01-31T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Sugdiyon Limited Liability Company,Firm,Tajikistan," Tajikistan",2012-01-04T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Dhema Agencies Limited,Firm,Uganda," Uganda",2012-02-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
J. Mitra & Co. Private Limited,Firm,India," India",2011-11-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Vratsa Invest Group Ood,Firm,Bulgaria," Bulgaria",2011-11-16T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Metal Engineering Eood,Firm,Bulgaria," Bulgaria",2011-11-16T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Valeri Angelov,Individual,Bulgaria," Bulgaria",2011-11-16T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Association ""Hidrostroitel""",Firm,Tajikistan," Tajikistan",2011-11-21T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Closed Joint Stock Co ""Sharora""",Firm,Tajikistan," Tajikistan",2011-11-21T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Sincam Water Technology Co., Ltd.",Firm,Cambodia," Cambodia",2012-02-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Tith Voeurn,Individual,Cambodia," Cambodia",2012-02-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Multistar Holdings Limited (Formerly Multi-Con Systems PTE Ltd.),Firm,Singapore," Cambodia",2012-02-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Dr. Symplice Mbola Mbassi,Individual,Democratic Republic of the Congo," Democratic Republic of the Congo, Congo",2011-07-13T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Cabinet de Recherche, de Formation et d'Expertise en Santé (CREFES)",Firm,Democratic Republic of the Congo," Democratic Republic of the Congo, Congo",2011-07-13T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Bittohin Chasi Somaj Kallyan Sangstha (BCSKS),Firm,Bangladesh," Bangladesh",2011-08-31T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Md. Abdur Razzak,Individual,Bangladesh," Bangladesh",2011-08-31T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Asmontage EOOD,Firm,Bulgaria," Bulgaria",2011-08-30T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Development and Relief Corporation B.V. (also known as DRC b.v.),Firm,Netherlands," Albania, Iraq, Kyrgyzstan, Cambodia, Romania, Timor-Leste, Uzbekistan, Samoa",2013-09-09T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
CONSPRIM-CONSTRUCTORA PRIMEIRACRUZENSE LTDA (CONSPRIM),Firm,Brazil," Brazil",2013-09-26T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Geometrica Construções LTDA (Geometrica),Firm,Brazil," Brazil",2013-10-03T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Raimundo Rosário Brandão (Mr. Brandão),Individual,Brazil," Brazil",2013-10-03T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Ir. Norma Kumalawati,Individual,Indonesia," Indonesia",2011-05-17T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
PT Rifa Bestari,Firm,Indonesia," Indonesia",2011-05-17T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
M/S Zakir Enterprise,Firm,Bangladesh," Bangladesh",2012-11-23T00:00,Ongoing," Fraud, Collusion, Obstruction",ADB cross debarment,NULL,NULL,NULL
"Hao, Zhiyong",Individual,China," Uzbekistan",2012-11-23T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Mr. Allan Makabayi,Individual,Uganda," Uganda",2011-12-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Progressive Constructions Limited,Firm,India," India",2013-11-26T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Servicios industriales en construcción de metalmecánica y petroleras (SICOMEPT),Firm,Bolivia," Bolivia",2011-10-25T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Constructora Citeco (CITECO),Firm,Bolivia," Bolivia",2011-10-25T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Constructora Extracon,Firm,Bolivia," Bolivia",2011-10-25T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Atlas Medicine Concern Pvt. Ltd.,Firm,Nepal,NULL,2014-01-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Sanjay Gupta,Individual,Nepal,NULL,2014-01-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Vital Supplies and Logistics Ltd. (Vital),Firm,Uganda," Uganda",2012-03-20T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ostek Construction Electric Automation System Technologies Ltd.,Firm,Turkey,NULL,2014-02-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Yusri Yusuf,Individual,Indonesia," Indonesia",2014-02-11T00:00,Ongoing," Fraud, Coercion",WBG cross debarment,NULL,NULL,NULL
Constructora Construsand S.R.L.,Firm,Bolivia,NULL,2014-02-14T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Constructora Sedinc,Firm,Bolivia,NULL,2014-02-14T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Lizandro Aguirre Taborga,Individual,Bolivia,NULL,2014-02-14T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. René Sandoval Soliz,Individual,Bolivia,NULL,2014-02-14T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Baufirma,Firm,Guatemala," Guatemala",2014-04-16T00:00,2027-04-15 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Savoir Soft Solutions Pvt. Ltd.,Firm,India," India",2014-03-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Arturo Javier Haro Gutiérrez,Individual,Peru," Peru",2014-03-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Harjit Singh,Individual,Canada," Yemen",2014-03-31T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
OOO RBC Center (OOC Armada Center),Firm,Russian Federation," Russian Federation",2014-05-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Fausto Alejandro López Cifuentes,Individual,Guatemala," Guatemala",2014-06-24T00:00,2027-06-23 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
D.A. Construction Limited,Firm,Nigeria," Nigeria",2014-05-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Peter Lee (also know as Mr. Li Yi),Individual,China," Ghana",2014-04-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
L'Entreprise Generate De Construction Tsimanavaka (Tsimanavaka),Firm,Madagascar," Madagascar",2014-05-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Constructora Romero Arteaga (Arteaga),Firm,Bolivia," Bolivia",2014-05-28T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
ARTIFEX Telecomunicaciones S.R.L. (ARTIFEX),Firm,Bolivia," Bolivia",2014-04-29T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Alfredo Echalar Franco,Individual,Bolivia," Bolivia",2014-04-29T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Kuoy Vuoch,Individual,Cambodia," Cambodia",2014-08-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Kuoy Vuoch Construction Co., Ltd.",Firm,Cambodia," Cambodia",2014-08-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
M/S Uday Pratap Sharma,Firm,India," India",2014-06-10T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
C.D.W. Construction Co. Ltd.,Firm,Cambodia," Cambodia",2014-07-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr.  John B. Katende,Individual,Uganda," Uganda",2011-10-25T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Broadway Engineering Services Limited,Firm,Uganda," Uganda",2011-10-25T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
JYC Import Export,Firm,Bolivia," Bolivia",2014-05-15T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Jhonny Choque Rojas,Individual,Bolivia," Bolivia",2014-05-15T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Ms. Corina Ramírez Rodríguez,Individual,Bolivia," Bolivia",2014-05-15T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Diviarq,Firm,Bolivia," Bolivia",2014-06-25T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Private Enterprise (PE) Rabmer,Firm,Ukraine," Ukraine",2014-06-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Diamond Construction & Import Export Co., Ltd.",Firm,Cambodia," Cambodia",2014-08-26T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Chea Vantha,Individual,Cambodia," Cambodia",2014-08-26T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Valeriy Rushchak,Individual,Ukraine," Ukraine",2014-09-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
L'Entreprise Générale de Construction Rijavola,Firm,Madagascar," Madagascar",2014-06-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Suprematech Solutions Inc.,Firm,United States of America," Russian Federation",2012-12-04T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Bayon Water Pump Co. Ltd.,Firm,Cambodia," Cambodia",2014-10-30T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Pioneer Construction Ltd.,Firm,Uganda," Uganda",2014-09-30T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Charles Kyenkya,Individual,Uganda," Uganda",2014-09-30T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Servicios Profesionales de Ingeniería y Comercio Rocha,Firm,Guatemala," Guatemala",2014-07-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Steeve Laberge,Individual,Canada," Yemen",2014-07-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Medtechnica Plus CJSC & Medical Equip.,Firm,Armenia," Armenia",2015-02-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Steven Nederhorst,Individual,Netherlands," United Republic of Tanzania",2015-03-03T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
"Elmcrest Group Limited, Formerly known as Landmarc Limited",Firm,United Kingdom of Great Britain and Northern Ireland," United Republic of Tanzania",2015-03-03T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Yrysbek Nurdupovich Gulmatov,Individual,Kyrgyzstan," Kyrgyzstan",2015-03-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Md. Bodiuzzaman (MBZ),Individual,Bangladesh," Bangladesh",2015-03-03T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Md. Bodiuzzaman Proprietor Md. Bodiuzzaman (MBZ),Firm,Bangladesh," Bangladesh",2015-03-03T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Empresa Constructora y Consultora Laptus S.R.L.,Firm,Bolivia," Bolivia",2015-03-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
ICOR Ingeniería en Construcciones Orleans (ICOR),Firm,Bolivia," Bolivia",2015-03-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
K.R.G. Associates,Firm,India," India",2015-03-06T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Seng Enterprise Co., Ltd.",Firm,Cambodia," Cambodia",2015-03-30T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Luis Sánchez Santur,Individual,Peru," Peru",2015-04-03T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Limited Liability Company Manufacturing and Commercial Firm ",Firm,Ukraine," Ukraine",2015-04-03T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Groupe DEC S.A. / DEC Group Inc.,Firm,Benin," Niger",2015-04-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
N.C. Sanitors & Service Corporation (N.C. Sanitors),Firm,Liberia," Liberia",2015-04-24T00:00,2027-12-15 00:00:00," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Supachai Prechaterasat,Firm,Thailand," Thailand",2011-09-20T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
TIS Consultants Company Limited,Firm,Thailand," Thailand",2011-09-20T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Shandong Hualong Landscaping Engineering Co., Ltd.",Firm,China," China",2015-06-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Angel Zambrono Navarro,Individual,Peru," Peru",2015-06-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Grasco Company,Firm,Congo," Congo",2013-08-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Eleqant-Tikinti Insaat MMC/Eleqant-Tikinti Insaat LLC,Firm,Azerbaijan," Azerbaijan",2015-07-23T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
RISMA Ltd.,Firm,Kyrgyzstan," Kyrgyzstan",2015-07-23T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
